id,parent,permalink,image_dir,image,title,brand
adidas,/wiki/racchette/,/wiki/racchette/adidas/,/images/wiki/brands/,adidas.jpg,Adidas,adidas
black-crown,/wiki/racchette/,/wiki/racchette/black-crown/,/images/wiki/brands/,black-crown.jpg,Black Crown,black crown
babolat,/wiki/racchette/,/wiki/racchette/babolat/,/images/wiki/brands/,babolat.jpg,Babolat,babolat
bullpadel,/wiki/racchette/,/wiki/racchette/bullpadel/,/images/wiki/brands/,bullpadel.jpg,Bullpadel,bullpadel
dropshot,/wiki/racchette/,/wiki/racchette/dropshot/,/images/wiki/brands/,dropshot.jpg,Dropshot,dropshot
head,/wiki/racchette/,/wiki/racchette/head/,/images/wiki/brands/,head.jpg,Head,head
nox,/wiki/racchette/,/wiki/racchette/nox/,/images/wiki/brands/,nox.jpg,Nox,nox
prince,/wiki/racchette/,/wiki/racchette/prince/,/images/wiki/brands/,prince.jpg,Prince,prince
starvie,/wiki/racchette/,/wiki/racchette/starvie/,/images/wiki/brands/,starvie.jpg,Starvie,starvie
vibor-a,/wiki/racchette/,/wiki/racchette/vibor-a/,/images/wiki/brands/,vibor-a.jpg,Vibor-A,vibor-a